epoch,total_loss,data_loss,physics_loss
19550,3.803868e-01,9.358507e-05,3.802932e-01
19600,3.787787e-01,8.387918e-05,3.786948e-01
19650,3.781300e-01,4.918129e-04,3.776382e-01
19700,3.787773e-01,8.250855e-05,3.786948e-01
19750,3.777215e-01,8.331970e-05,3.776382e-01
19800,3.777202e-01,8.204563e-05,3.776382e-01
19850,3.809580e-01,2.147520e-04,3.807432e-01
19900,3.787771e-01,8.227539e-05,3.786948e-01
19950,3.777204e-01,8.221709e-05,3.776382e-01
20000,3.813149e-01,8.137625e-05,3.812335e-01
0,3.660818e+02,1.865324e-01,3.658953e+02
50,3.523666e+02,3.201083e-04,3.523663e+02
100,3.395026e+02,1.403429e-04,3.395024e+02
